model,cv_auc,cv_acc
LogReg,0.9959987688519544,0.9736842105263157
SVM,0.9948291782086794,0.9736842105263157
RandomForest,0.9945213911972914,0.9614035087719298
DecisionTree,0.9350877192982455,0.9350877192982455
