model,accuracy,precision,sensitivity,auc
RandomForest,0.9824561403508771,1.0,0.9523809523809523,0.9983465608465608
SVM,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9947089947089947
LogReg,0.9736842105263158,0.975609756097561,0.9523809523809523,0.9940476190476191
DecisionTree,0.9210526315789473,0.9024390243902439,0.8809523809523809,0.9126984126984126
